model;pk;GeneName;GeneID;EntryName;ProteinName
drug.Protein;Q7Z4J2;GLT6D1;ENSG00000204007;Q7Z4J2;Putative glycosyltransferase 6 domain-containing protein 1 (EC 2.4.1.-) (Galactosyltransferase family 6 domain-containing 1)
drug.Protein;Q9H4M7;PLEKHA4;ENSG00000105559;Q9H4M7;Pleckstrin homology domain-containing family A member 4 (PH domain-containing family A member 4) (Phosphoinositol 3-phosphate-binding protein 1) (PEPP-1)
drug.Protein;Q9UN19;DAPP1;ENSG00000070190;Q9UN19;Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide (hDAPP1) (B lymphocyte adapter protein Bam32) (B-cell adapter molecule of 32 kDa)
drug.Protein;P23677;ITPKA;ENSG00000137825;P23677;Inositol-trisphosphate 3-kinase A (EC 2.7.1.127) (Inositol 1,4,5-trisphosphate 3-kinase A) (IP3 3-kinase A) (IP3K A) (InsP 3-kinase A)
drug.Protein;Q99418;CYTH2;ENSG00000105443;Q99418;Cytohesin-2 (ARF exchange factor) (ARF nucleotide-binding site opener) (Protein ARNO) (PH, SEC7 and coiled-coil domain-containing protein 2)
drug.Protein;O43739;CYTH3;ENSG00000008256;O43739;Cytohesin-3 (ARF nucleotide-binding site opener 3) (Protein ARNO3) (General receptor of phosphoinositides 1) (Grp1) (PH, SEC7 and coiled-coil domain-containing protein 3)
drug.Protein;P62330;ARF6;ENSG00000165527;P62330;ADP-ribosylation factor 6 (EC 3.6.5.2)
drug.Protein;P62491;RAB11A;ENSG00000103769;P62491;Ras-related protein Rab-11A (Rab-11) (EC 3.6.5.2) (YL8)
drug.Protein;P19961;AMY2B;ENSG00000240038;P19961;Alpha-amylase 2B (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase 2B) (Carcinoid alpha-amylase)
drug.Protein;Q13748;;;;
drug.Protein;P04350;TUBB4A;ENSG00000104833;P04350;Tubulin beta-4A chain (Tubulin 5 beta) (Tubulin beta-4 chain)
drug.Protein;Q13509;TUBB3;ENSG00000258947;Q13509;Tubulin beta-3 chain (Tubulin beta-4 chain) (Tubulin beta-III)
drug.Protein;Q9BQE3;TUBA1C;ENSG00000167553;Q9BQE3;Tubulin alpha-1C chain (Alpha-tubulin 6) (Tubulin alpha-6 chain) [Cleaved into: Detyrosinated tubulin alpha-1C chain]
drug.Protein;Q9NY65;TUBA8;ENSG00000183785;Q9NY65;Tubulin alpha-8 chain (Alpha-tubulin 8) (Tubulin alpha chain-like 2)
drug.Protein;P68363;TUBA1B;ENSG00000123416;P68363;Tubulin alpha-1B chain (Alpha-tubulin ubiquitous) (Tubulin K-alpha-1) (Tubulin alpha-ubiquitous chain) [Cleaved into: Detyrosinated tubulin alpha-1B chain]
drug.Protein;P14174;MIF;ENSG00000240972;P14174;Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (Glycosylation-inhibiting factor) (GIF) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase)
drug.Protein;P24941;CDK2;ENSG00000123374;P24941;Cyclin-dependent kinase 2 (EC 2.7.11.22) (Cell division protein kinase 2) (p33 protein kinase)
drug.Protein;P05019;IGF1;ENSG00000017427;P05019;Insulin-like growth factor I (IGF-I) (Mechano growth factor) (MGF) (Somatomedin-C)
drug.Protein;P46459;NSF;ENSG00000073969;P46459;Vesicle-fusing ATPase (EC 3.6.4.6) (N-ethylmaleimide-sensitive fusion protein) (NEM-sensitive fusion protein) (Vesicular-fusion protein NSF)
drug.Protein;Q86YB8;ERO1B;ENSG00000086619;Q86YB8;ERO1-like protein beta (ERO1-L-beta) (EC 1.8.4.-) (Endoplasmic reticulum oxidoreductase beta) (Endoplasmic reticulum oxidoreductin-1-like protein B) (Oxidoreductin-1-L-beta)
drug.Protein;P19367;HK1;ENSG00000156515;P19367;Hexokinase-1 (EC 2.7.1.1) (Brain form hexokinase) (Hexokinase type I) (HK I) (Hexokinase-A)
drug.Protein;P35557;GCK;ENSG00000106633;P35557;Hexokinase-4 (HK4) (EC 2.7.1.1) (Glucokinase) (Hexokinase type IV) (HK IV) (Hexokinase-D)
drug.Protein;P22732;SLC2A5;ENSG00000142583;P22732;Solute carrier family 2, facilitated glucose transporter member 5 (Fructose transporter) (Glucose transporter type 5, small intestine) (GLUT-5)
drug.Protein;Q9UGQ3;SLC2A6;ENSG00000160326;Q9UGQ3;Solute carrier family 2, facilitated glucose transporter member 6 (Glucose transporter type 6) (GLUT-6)
drug.Protein;Q6PXP3;SLC2A7;ENSG00000197241;Q6PXP3;Solute carrier family 2, facilitated glucose transporter member 7 (Glucose transporter type 7) (GLUT-7) (hGLUT7)
drug.Protein;Q9NY64;SLC2A8;ENSG00000136856;Q9NY64;Solute carrier family 2, facilitated glucose transporter member 8 (Glucose transporter type 8) (GLUT-8) (Glucose transporter type X1)
drug.Protein;O95528;SLC2A10;ENSG00000197496;O95528;Solute carrier family 2, facilitated glucose transporter member 10 (Glucose transporter type 10) (GLUT-10)
drug.Protein;Q9BYW1;SLC2A11;ENSG00000133460;Q9BYW1;Solute carrier family 2, facilitated glucose transporter member 11 (Glucose transporter type 11) (GLUT-11)
drug.Protein;Q8TD20;SLC2A12;ENSG00000146411;Q8TD20;Solute carrier family 2, facilitated glucose transporter member 12 (Glucose transporter type 12) (GLUT-12)
drug.Protein;P31639;SLC5A2;ENSG00000140675;P31639;Sodium/glucose cotransporter 2 (Na(+)/glucose cotransporter 2) (Low affinity sodium-glucose cotransporter) (Solute carrier family 5 member 2)
drug.Protein;Q9BWD1;ACAT2;ENSG00000120437;Q9BWD1;Acetyl-CoA acetyltransferase, cytosolic (EC 2.3.1.9) (Acetyl-CoA transferase-like protein) (Cytosolic acetoacetyl-CoA thiolase)
drug.Protein;P02689;PMP2;ENSG00000147588;P02689;Myelin P2 protein (Peripheral myelin protein 2)
drug.Protein;P17612;PRKACA;ENSG00000072062;P17612;cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)
drug.Protein;Q86XF0;DHFR2;ENSG00000178700;Q86XF0;Dihydrofolate reductase 2, mitochondrial (Dihydrofolate reductase, mitochondrial) (EC 1.5.1.3) (Dihydrofolate reductase-like protein 1)
drug.Protein;Q13363;CTBP1;ENSG00000159692;Q13363;C-terminal-binding protein 1 (CtBP1) (EC 1.1.1.-)
drug.Protein;O14936;CASK;ENSG00000147044;O14936;Peripheral plasma membrane protein CASK (hCASK) (EC 2.7.11.1) (Calcium/calmodulin-dependent serine protein kinase) (Protein lin-2 homolog)
drug.Protein;Q9BVM4;GGACT;ENSG00000134864;Q9BVM4;Gamma-glutamylaminecyclotransferase (GGACT) (EC 4.3.2.8) (AIG2-like domain-containing protein 1) (Gamma-glutamylamine cyclotransferase)
drug.Protein;P20472;PVALB;ENSG00000100362;P20472;Parvalbumin alpha
drug.Protein;P14621;ACYP2;ENSG00000170634;P14621;Acylphosphatase-2 (EC 3.6.1.7) (Acylphosphatase, muscle type isozyme) (Acylphosphate phosphohydrolase 2)
drug.Protein;Q9NQX3;GPHN;ENSG00000171723;Q9NQX3;"Gephyrin [Includes: Molybdopterin adenylyltransferase (MPT adenylyltransferase) (EC 2.7.7.75) (Domain G); Molybdopterin molybdenumtransferase (MPT Mo-transferase) (EC 2.10.1.1) (Domain E)]"
drug.Protein;Q7Z406;MYH14;ENSG00000105357;Q7Z406;Myosin-14 (Myosin heavy chain 14) (Myosin heavy chain, non-muscle IIc) (Non-muscle myosin heavy chain IIc) (NMHC II-C)
drug.Protein;Q09013;DMPK;ENSG00000104936;Q09013;Myotonin-protein kinase (MT-PK) (EC 2.7.11.1) (DM-kinase) (DMK) (DM1 protein kinase) (DMPK) (Myotonic dystrophy protein kinase)
drug.Protein;Q9UKM7;MAN1B1;ENSG00000177239;Q9UKM7;Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase (EC 3.2.1.113) (ER alpha-1,2-mannosidase) (ER mannosidase 1) (ERMan1) (Man9GlcNAc2-specific-processing alpha-mannosidase) (Mannosidase alpha class 1B member 1)
drug.Protein;P31641;SLC6A6;ENSG00000131389;P31641;Sodium- and chloride-dependent taurine transporter (Solute carrier family 6 member 6)
drug.Protein;P07602;PSAP;ENSG00000197746;P07602;"Prosaposin (Proactivator polypeptide) [Cleaved into: Saposin-A (Protein A); Saposin-B-Val; Saposin-B (Cerebroside sulfate activator) (CSAct) (Dispersin) (Sphingolipid activator protein 1) (SAP-1) (Sulfatide/GM1 activator); Saposin-C (A1 activator) (Co-beta-glucosidase) (Glucosylceramidase activator) (Sphingolipid activator protein 2) (SAP-2); Saposin-D (Component C) (Protein C)]"
drug.Protein;O75390;CS;ENSG00000062485;O75390;Citrate synthase, mitochondrial (EC 2.3.3.1) (Citrate (Si)-synthase)
drug.Protein;P36959;GMPR;ENSG00000137198;P36959;GMP reductase 1 (GMPR 1) (EC 1.7.1.7) (Guanosine 5'-monophosphate oxidoreductase 1) (Guanosine monophosphate reductase 1)
drug.Protein;Q9Y6L7;TLL2;ENSG00000095587;Q9Y6L7;Tolloid-like protein 2 (EC 3.4.24.-)
drug.Protein;P35398;RORA;ENSG00000069667;P35398;Nuclear receptor ROR-alpha (Nuclear receptor RZR-alpha) (Nuclear receptor subfamily 1 group F member 1) (RAR-related orphan receptor A) (Retinoid-related orphan receptor-alpha)
drug.Protein;P07108;DBI;ENSG00000155368;P07108;Acyl-CoA-binding protein (ACBP) (Diazepam-binding inhibitor) (DBI) (Endozepine) (EP)
drug.Protein;Q92993;KAT5;ENSG00000172977;Q92993;Histone acetyltransferase KAT5 (EC 2.3.1.48) (60 kDa Tat-interactive protein) (Tip60) (Histone acetyltransferase HTATIP) (HIV-1 Tat interactive protein) (Lysine acetyltransferase 5) (Protein 2-hydroxyisobutyryltransferase KAT5) (EC 2.3.1.-) (Protein acetyltransferase KAT5) (EC 2.3.1.-) (Protein crotonyltransferase KAT5) (EC 2.3.1.-) (cPLA(2)-interacting protein)
drug.Protein;Q92830;KAT2A;ENSG00000108773;Q92830;Histone acetyltransferase KAT2A (EC 2.3.1.48) (General control of amino acid synthesis protein 5-like 2) (Histone acetyltransferase GCN5) (hGCN5) (Histone glutaryltransferase KAT2A) (EC 2.3.1.-) (Histone succinyltransferase KAT2A) (EC 2.3.1.-) (Lysine acetyltransferase 2A) (STAF97)
drug.Protein;Q92831;KAT2B;ENSG00000114166;Q92831;Histone acetyltransferase KAT2B (EC 2.3.1.48) (Histone acetyltransferase PCAF) (Histone acetylase PCAF) (Lysine acetyltransferase 2B) (P300/CBP-associated factor) (P/CAF) (Spermidine acetyltransferase KAT2B) (EC 2.3.1.57)
drug.Protein;P06744;GPI;ENSG00000105220;P06744;Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI) (Sperm antigen 36) (SA-36)
drug.Protein;Q08881;ITK;ENSG00000113263;Q08881;Tyrosine-protein kinase ITK/TSK (EC 2.7.10.2) (Interleukin-2-inducible T-cell kinase) (IL-2-inducible T-cell kinase) (Kinase EMT) (T-cell-specific kinase) (Tyrosine-protein kinase Lyk)
drug.Protein;P43405;SYK;ENSG00000165025;P43405;Tyrosine-protein kinase SYK (EC 2.7.10.2) (Spleen tyrosine kinase) (p72-Syk)
drug.Protein;P49137;MAPKAPK2;ENSG00000162889;P49137;MAP kinase-activated protein kinase 2 (MAPK-activated protein kinase 2) (MAPKAP kinase 2) (MAPKAP-K2) (MAPKAPK-2) (MK-2) (MK2) (EC 2.7.11.1)
drug.Protein;P48736;PIK3CG;ENSG00000105851;P48736;Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform (PI3-kinase subunit gamma) (PI3K-gamma) (PI3Kgamma) (PtdIns-3-kinase subunit gamma) (EC 2.7.1.137) (EC 2.7.1.153) (EC 2.7.1.154) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit gamma) (PtdIns-3-kinase subunit p110-gamma) (p110gamma) (Phosphoinositide-3-kinase catalytic gamma polypeptide) (Serine/threonine protein kinase PIK3CG) (EC 2.7.11.1) (p120-PI3K)
drug.Protein;Q04759;PRKCQ;ENSG00000065675;Q04759;Protein kinase C theta type (EC 2.7.11.13) (nPKC-theta)
drug.Protein;P43403;ZAP70;ENSG00000115085;P43403;Tyrosine-protein kinase ZAP-70 (EC 2.7.10.2) (70 kDa zeta-chain associated protein) (Syk-related tyrosine kinase)
drug.Protein;P48449;LSS;ENSG00000160285;P48449;Lanosterol synthase (EC 5.4.99.7) (2,3-epoxysqualene--lanosterol cyclase) (Oxidosqualene--lanosterol cyclase) (OSC) (hOSC)
drug.Protein;P20231;TPSB2;ENSG00000197253;P20231;Tryptase beta-2 (Tryptase-2) (EC 3.4.21.59) (Tryptase II)
drug.Protein;P50607;TUB;ENSG00000166402;P50607;Tubby protein homolog
drug.Protein;P34913;EPHX2;ENSG00000120915;P34913;"Bifunctional epoxide hydrolase 2 [Includes: Cytosolic epoxide hydrolase 2 (CEH) (EC 3.3.2.10) (Epoxide hydratase) (Soluble epoxide hydrolase) (SEH); Lipid-phosphate phosphatase (EC 3.1.3.76)]"
drug.Protein;Q16706;MAN2A1;ENSG00000112893;Q16706;Alpha-mannosidase 2 (EC 3.2.1.114) (Golgi alpha-mannosidase II) (AMan II) (Man II) (Mannosidase alpha class 2A member 1) (Mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase)
drug.Protein;P50897;PPT1;ENSG00000131238;P50897;Palmitoyl-protein thioesterase 1 (PPT-1) (EC 3.1.2.22) (Palmitoyl-protein hydrolase 1)
drug.Protein;Q9UKQ2;ADAM28;ENSG00000042980;Q9UKQ2;Disintegrin and metalloproteinase domain-containing protein 28 (ADAM 28) (EC 3.4.24.-) (Epididymal metalloproteinase-like, disintegrin-like, and cysteine-rich protein II) (eMDC II) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein L) (MDC-L)
drug.Protein;Q00535;CDK5;ENSG00000164885;Q00535;Cyclin-dependent kinase 5 (EC 2.7.11.1) (Cell division protein kinase 5) (Cyclin-dependent-like kinase 5) (Serine/threonine-protein kinase PSSALRE) (Tau protein kinase II catalytic subunit) (TPKII catalytic subunit)
drug.Protein;P06493;CDK1;ENSG00000170312;P06493;Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase)
drug.Protein;Q15078;CDK5R1;ENSG00000176749;Q15078;"Cyclin-dependent kinase 5 activator 1 (CDK5 activator 1) (Cyclin-dependent kinase 5 regulatory subunit 1) (TPKII regulatory subunit) [Cleaved into: Cyclin-dependent kinase 5 activator 1, p35 (p35); Cyclin-dependent kinase 5 activator 1, p25 (p25) (Tau protein kinase II 23 kDa subunit) (p23)]"
drug.Protein;P13639;EEF2;ENSG00000167658;P13639;Elongation factor 2 (EF-2)
drug.Protein;Q9NXA8;SIRT5;ENSG00000124523;Q9NXA8;NAD-dependent protein deacylase sirtuin-5, mitochondrial (EC 2.3.1.-) (Regulatory protein SIR2 homolog 5) (SIR2-like protein 5)
drug.Protein;Q9NTG7;SIRT3;ENSG00000142082;Q9NTG7;NAD-dependent protein deacetylase sirtuin-3, mitochondrial (hSIRT3) (EC 2.3.1.286) (Regulatory protein SIR2 homolog 3) (SIR2-like protein 3)
drug.Protein;P07148;FABP1;ENSG00000163586;P07148;Fatty acid-binding protein, liver (Fatty acid-binding protein 1) (Liver-type fatty acid-binding protein) (L-FABP)
drug.Protein;P35080;PFN2;ENSG00000070087;P35080;Profilin-2 (Profilin II)
drug.Protein;Q92930;RAB8B;ENSG00000166128;Q92930;Ras-related protein Rab-8B
drug.Protein;P20248;CCNA2;ENSG00000145386;P20248;Cyclin-A2 (Cyclin-A) (Cyclin A)
drug.Protein;Q9BZX2;UCK2;ENSG00000143179;Q9BZX2;Uridine-cytidine kinase 2 (UCK 2) (EC 2.7.1.48) (Cytidine monophosphokinase 2) (Testis-specific protein TSA903) (Uridine monophosphokinase 2)
drug.Protein;Q6UWN8;SPINK6;ENSG00000178172;Q6UWN8;Serine protease inhibitor Kazal-type 6 (Kallikrein inhibitor)
drug.Protein;P07858;CTSB;ENSG00000164733;P07858;"Cathepsin B (EC 3.4.22.1) (APP secretase) (APPS) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain]"
drug.Protein;Q8N142;ADSS1;ENSG00000185100;Q8N142;Adenylosuccinate synthetase isozyme 1 (AMPSase 1) (AdSS 1) (EC 6.3.4.4) (Adenylosuccinate synthetase, basic isozyme) (Adenylosuccinate synthetase, muscle isozyme) (M-type adenylosuccinate synthetase) (Adenylosuccinate synthetase-like 1) (AdSSL1) (IMP--aspartate ligase 1)
drug.Protein;P09668;CTSH;ENSG00000103811;P09668;"Pro-cathepsin H [Cleaved into: Cathepsin H mini chain; Cathepsin H (EC 3.4.22.16); Cathepsin H heavy chain; Cathepsin H light chain]"
drug.Protein;Q00169;PITPNA;ENSG00000174238;Q00169;Phosphatidylinositol transfer protein alpha isoform (PI-TP-alpha) (PtdIns transfer protein alpha) (PtdInsTP alpha)
drug.Protein;P08581;MET;ENSG00000105976;P08581;Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)
drug.Protein;Q02750;MAP2K1;ENSG00000169032;Q02750;Dual specificity mitogen-activated protein kinase kinase 1 (MAP kinase kinase 1) (MAPKK 1) (MKK1) (EC 2.7.12.2) (ERK activator kinase 1) (MAPK/ERK kinase 1) (MEK 1)
drug.Protein;P32119;PRDX2;ENSG00000167815;P32119;Peroxiredoxin-2 (EC 1.11.1.24) (Natural killer cell-enhancing factor B) (NKEF-B) (PRP) (Thiol-specific antioxidant protein) (TSA) (Thioredoxin peroxidase 1) (Thioredoxin-dependent peroxide reductase 1) (Thioredoxin-dependent peroxiredoxin 2)
drug.Protein;P15090;FABP4;ENSG00000170323;P15090;Fatty acid-binding protein, adipocyte (Adipocyte lipid-binding protein) (ALBP) (Adipocyte-type fatty acid-binding protein) (A-FABP) (AFABP) (Fatty acid-binding protein 4)
drug.Protein;Q9UJM8;HAO1;ENSG00000101323;Q9UJM8;2-Hydroxyacid oxidase 1 (HAOX1) (EC 1.1.3.15) (Glycolate oxidase) (GO) (GOX) (Glyoxylate oxidase) (EC 1.2.3.5)
drug.Protein;P36873;PPP1CC;ENSG00000186298;P36873;Serine/threonine-protein phosphatase PP1-gamma catalytic subunit (PP-1G) (EC 3.1.3.16) (Protein phosphatase 1C catalytic subunit)
drug.Protein;P09012;SNRPA;ENSG00000077312;P09012;U1 small nuclear ribonucleoprotein A (U1 snRNP A) (U1-A) (U1A)
drug.Protein;O60551;NMT2;ENSG00000152465;O60551;Glycylpeptide N-tetradecanoyltransferase 2 (EC 2.3.1.97) (Myristoyl-CoA:protein N-myristoyltransferase 2) (NMT 2) (Peptide N-myristoyltransferase 2) (Protein-lysine myristoyltransferase NMT2) (EC 2.3.1.-) (Type II N-myristoyltransferase)
drug.Protein;Q6UWM7;LCTL;ENSG00000188501;Q6UWM7;Lactase-like protein (Klotho/lactase-phlorizin hydrolase-related protein)
drug.Protein;P04053;DNTT;ENSG00000107447;P04053;DNA nucleotidylexotransferase (EC 2.7.7.31) (Terminal addition enzyme) (Terminal deoxynucleotidyltransferase) (Terminal transferase)
drug.Protein;Q9UBQ6;EXTL2;ENSG00000162694;Q9UBQ6;Exostosin-like 2 (EC 2.4.1.223) (Alpha-1,4-N-acetylhexosaminyltransferase EXTL2) (Alpha-GalNAcT EXTL2) (EXT-related protein 2) (Glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) [Cleaved into: Processed exostosin-like 2]
drug.Protein;Q16222;UAP1;ENSG00000117143;Q16222;"UDP-N-acetylhexosamine pyrophosphorylase (Antigen X) (AGX) (Sperm-associated antigen 2) [Includes: UDP-N-acetylgalactosamine pyrophosphorylase (EC 2.7.7.83) (AGX-1); UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (AGX-2)]"
drug.Protein;P16442;ABO;ENSG00000175164;P16442;Histo-blood group ABO system transferase (Fucosylglycoprotein 3-alpha-galactosyltransferase) (Fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase) (Glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase) (EC 2.4.1.40) (Glycoprotein-fucosylgalactoside alpha-galactosyltransferase) (EC 2.4.1.37) (Histo-blood group A transferase) (A transferase) (Histo-blood group B transferase) (B transferase) (NAGAT) [Cleaved into: Fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase soluble form]
drug.Protein;Q99470;SDF2;ENSG00000132581;Q99470;Stromal cell-derived factor 2 (SDF-2)
drug.Protein;P01112;HRAS;ENSG00000174775;P01112;GTPase HRas (EC 3.6.5.2) (H-Ras-1) (Ha-Ras) (Transforming protein p21) (c-H-ras) (p21ras) [Cleaved into: GTPase HRas, N-terminally processed]
drug.Protein;P07339;CTSD;ENSG00000117984;P07339;"Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain]"
drug.Protein;Q9NPB1;NT5M;ENSG00000205309;Q9NPB1;5'(3')-deoxyribonucleotidase, mitochondrial (5',3'-nucleotidase, mitochondrial) (EC 3.1.3.-) (Deoxy-5'-nucleotidase 2) (dNT-2)
drug.Protein;P16112;ACAN;ENSG00000157766;P16112;Aggrecan core protein (Cartilage-specific proteoglycan core protein) (CSPCP) (Chondroitin sulfate proteoglycan core protein 1) (Chondroitin sulfate proteoglycan 1) [Cleaved into: Aggrecan core protein 2]
drug.Protein;P17900;GM2A;ENSG00000196743;P17900;Ganglioside GM2 activator (Cerebroside sulfate activator protein) (GM2-AP) (Sphingolipid activator protein 3) (SAP-3) [Cleaved into: Ganglioside GM2 activator isoform short]
drug.Protein;P25105;PTAFR;ENSG00000169403;P25105;Platelet-activating factor receptor (PAF-R) (PAFr)
drug.Protein;P08842;STS;ENSG00000101846;P08842;Steryl-sulfatase (EC 3.1.6.2) (Arylsulfatase C) (ASC) (Estrone sulfatase) (Steroid sulfatase) (Steryl-sulfate sulfohydrolase)
drug.Protein;P22459;KCNA4;ENSG00000182255;P22459;Potassium voltage-gated channel subfamily A member 4 (HPCN2) (Voltage-gated K(+) channel HuKII) (Voltage-gated potassium channel HBK4) (Voltage-gated potassium channel HK1) (Voltage-gated potassium channel subunit Kv1.4)
drug.Protein;Q9UKL6;PCTP;ENSG00000141179;Q9UKL6;Phosphatidylcholine transfer protein (PC-TP) (START domain-containing protein 2) (StARD2) (StAR-related lipid transfer protein 2)
drug.Protein;P35030;PRSS3;ENSG00000010438;P35030;Trypsin-3 (EC 3.4.21.4) (Brain trypsinogen) (Mesotrypsin) (Mesotrypsinogen) (Serine protease 3) (Serine protease 4) (Trypsin III) (Trypsin IV)
drug.Protein;O00408;PDE2A;ENSG00000186642;O00408;cGMP-dependent 3',5'-cyclic phosphodiesterase (EC 3.1.4.17) (Cyclic GMP-stimulated phosphodiesterase) (CGS-PDE) (cGSPDE)
drug.Protein;Q9UL51;HCN2;ENSG00000099822;Q9UL51;Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2 (Brain cyclic nucleotide-gated channel 2) (BCNG-2)
drug.Protein;P13501;CCL5;ENSG00000271503;P13501;"C-C motif chemokine 5 (EoCP) (Eosinophil chemotactic cytokine) (SIS-delta) (Small-inducible cytokine A5) (T cell-specific protein P228) (TCP228) (T-cell-specific protein RANTES) [Cleaved into: RANTES(3-68); RANTES(4-68)]"
drug.Protein;P49913;CAMP;ENSG00000164047;P49913;"Cathelicidin antimicrobial peptide (18 kDa cationic antimicrobial protein) (CAP-18) (hCAP-18) [Cleaved into: Antibacterial peptide FALL-39 (FALL-39 peptide antibiotic); Antibacterial peptide LL-37]"
drug.Protein;P08311;CTSG;ENSG00000100448;P08311;Cathepsin G (CG) (EC 3.4.21.20) [Cleaved into: Cathepsin G, C-terminal truncated form]
drug.Protein;P49789;FHIT;ENSG00000189283;P49789;Bis(5'-adenosyl)-triphosphatase (EC 3.6.1.29) (AP3A hydrolase) (AP3Aase) (Adenosine 5'-monophosphoramidase FHIT) (EC 3.9.1.-) (Adenylylsulfatase) (EC 3.6.2.1) (Adenylylsulfate-ammonia adenylyltransferase) (EC 2.7.7.51) (Diadenosine 5',5'''-P1,P3-triphosphate hydrolase) (Dinucleosidetriphosphatase) (Fragile histidine triad protein)
drug.Protein;P23458;JAK1;ENSG00000162434;P23458;Tyrosine-protein kinase JAK1 (EC 2.7.10.2) (Janus kinase 1) (JAK-1)
drug.Protein;P09848;LCT;ENSG00000115850;P09848;"Lactase/phlorizin hydrolase (Lactase/glycosylceramidase) [Includes: Lactase (EC 3.2.1.108); Glycosylceramidase (EC 3.2.1.62) (Phlorizin hydrolase)]"
drug.Protein;P30793;GCH1;ENSG00000131979;P30793;GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)
drug.Protein;P56817;BACE1;ENSG00000186318;P56817;Beta-secretase 1 (EC 3.4.23.46) (Aspartyl protease 2) (ASP2) (Asp 2) (Beta-site amyloid precursor protein cleaving enzyme 1) (Beta-site APP cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2)
drug.Protein;P46926;GNPDA1;ENSG00000113552;P46926;Glucosamine-6-phosphate isomerase 1 (EC 3.5.99.6) (Glucosamine-6-phosphate deaminase 1) (GNPDA 1) (GlcN6P deaminase 1) (Oscillin)
drug.Protein;Q9BW91;NUDT9;ENSG00000170502;Q9BW91;ADP-ribose pyrophosphatase, mitochondrial (EC 3.6.1.13) (ADP-ribose diphosphatase) (ADP-ribose phosphohydrolase) (Adenosine diphosphoribose pyrophosphatase) (ADPR-PPase) (Nucleoside diphosphate-linked moiety X motif 9) (Nudix motif 9)
drug.Protein;O60264;SMARCA5;ENSG00000153147;O60264;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin A5) (EC 3.6.4.-) (Sucrose nonfermenting protein 2 homolog) (hSNF2H)
drug.Protein;P04745;;;;
drug.Protein;O14594;NCAN;ENSG00000130287;O14594;Neurocan core protein (Chondroitin sulfate proteoglycan 3)
drug.Protein;Q701N4;KRTAP5-2;ENSG00000205867;Q701N4;Keratin-associated protein 5-2 (Keratin-associated protein 5-8) (Keratin-associated protein 5.2) (Keratin-associated protein 5.8) (Ultrahigh sulfur keratin-associated protein 5.2)
drug.Protein;Q9BZZ2;SIGLEC1;ENSG00000088827;Q9BZZ2;Sialoadhesin (Sialic acid-binding Ig-like lectin 1) (Siglec-1) (CD antigen CD169)
drug.Protein;P05162;LGALS2;ENSG00000100079;P05162;Galectin-2 (Gal-2) (Beta-galactoside-binding lectin L-14-II) (HL14) (Lactose-binding lectin 2) (S-Lac lectin 2)
drug.Protein;P47929;"LGALS7; LGALS7B";ENSG00000205076;P47929;Galectin-7 (Gal-7) (HKL-14) (PI7) (p53-induced gene 1 protein)
drug.Protein;Q6L8H2;KRTAP5-3;ENSG00000196224;Q6L8H2;Keratin-associated protein 5-3 (Keratin-associated protein 5-9) (Keratin-associated protein 5.3) (Keratin-associated protein 5.9) (UHS KerB-like) (Ultrahigh sulfur keratin-associated protein 5.3)
drug.Protein;P35247;SFTPD;ENSG00000133661;P35247;Pulmonary surfactant-associated protein D (PSP-D) (SP-D) (Collectin-7) (Lung surfactant protein D)
